MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.27	-0.06	-0.06	2.7	NAN	
0.1	0.15	-0.06	-0.06	1.5	NAN	
0.2	0.09	-0.06	-0.06	0.9	NAN	
0.3	0.075	-0.06	-0.06	0.75	NAN	
0.4	0.09	-0.055	-0.055	0.9	NAN	
0.5	0.12	-0.06	-0.06	1.2	NAN	
0.6	0.135	-0.055	-0.055	1.35	NAN	
0.7	0.165	-0.06	-0.06	1.65	NAN	
0.8	0.195	-0.055	-0.055	1.95	NAN	
0.9	0.225	-0.06	-0.06	2.25	NAN	
1	0.255	-0.06	-0.06	2.55	NAN	
1.1	0.285	-0.06	-0.06	2.85	NAN	
1.2	0.315	-0.055	-0.055	3.15	NAN	
1.3	0.33	-0.05	-0.05	3.3	NAN	
1.4	0.36	-0.055	-0.055	3.6	NAN	
1.5	0.375	-0.035	-0.035	3.75	NAN	
1.6	0.405	0.015	0.015	4.05	NAN	
1.7	0.435	0.08	0.08	4.35	NAN	
1.8	0.465	0.325	0.325	4.65	NAN	
1.9	0.495	0.66	0.66	4.95	NAN	
2	0.51	1.025	1.025	5.1	NAN	
2.1	0.54	1.235	1.235	5.4	NAN	
2.2	0.57	1.21	1.21	5.7	NAN	
2.3	0.6	0.825	0.825	6	NAN	
2.4	0.63	0.385	0.385	6.3	NAN	
2.5	0.645	0.075	0.075	6.45	NAN	
2.6	0.675	-0.02	-0.02	6.75	NAN	
2.7	0.705	-0.045	-0.045	7.05	NAN	
2.8	0.72	-0.055	-0.055	7.2	NAN	
2.9	0.75	-0.05	-0.05	7.5	NAN	
3	0.78	-0.03	-0.03	7.8	NAN	
3.1	0.81	0.015	0.015	8.1	NAN	
3.2	0.825	0.18	0.18	8.25	NAN	
3.3	0.855	0.565	0.565	8.55	NAN	
3.4	0.885	0.965	0.965	8.85	NAN	
3.5	0.915	1.455	1.455	9.15	NAN	
3.6	0.945	2.02	2.02	9.45	NAN	
3.7	0.96	2.67	2.67	9.6	NAN	
3.8	0.99	3.33	3.33	9.9	NAN	
3.9	1.02	3.88	3.88	10.2	NAN	
4	1.05	3.825	3.825	10.5	NAN	
4.1	1.065	3.185	3.185	10.65	NAN	
4.2	1.095	2.09	2.09	10.95	NAN	
4.3	1.11	1.1	1.1	11.1	NAN	
4.4	1.14	0.44	0.44	11.4	NAN	
4.5	1.17	0.09	0.09	11.7	NAN	
4.6	1.2	-0.005	-0.005	12	NAN	
4.7	1.23	-0.005	-0.005	12.3	NAN	
4.8	1.245	0.055	0.055	12.45	NAN	
4.9	1.275	0.245	0.245	12.75	NAN	
5	1.305	0.6	0.6	13.05	NAN	
5.1	1.335	1.035	1.035	13.35	NAN	
5.2	1.365	1.535	1.535	13.65	NAN	
5.3	1.38	2.215	2.215	13.8	NAN	
5.4	1.41	3.075	3.075	14.1	NAN	
5.5	1.425	3.91	3.91	14.25	NAN	
5.6	1.455	4.895	4.895	14.55	NAN	
5.7	1.485	5.895	5.895	14.85	NAN	
5.8	1.5	6.52	6.52	15	NAN	
5.9	1.53	6.43	6.43	15.3	NAN	
6	1.56	5.445	5.445	15.6	NAN	
6.1	1.59	3.93	3.93	15.9	NAN	
6.2	1.62	2.565	2.565	16.2	NAN	
6.3	1.635	1.38	1.38	16.35	NAN	
6.4	1.665	0.63	0.63	16.65	NAN	
6.5	1.695	0.265	0.265	16.95	NAN	
6.6	1.725	0.2	0.2	17.25	NAN	
6.7	1.755	0.36	0.36	17.55	NAN	
6.8	1.77	0.68	0.68	17.7	NAN	
6.9	1.785	1.135	1.135	17.85	NAN	
7	1.815	1.74	1.74	18.15	NAN	
7.1	1.845	2.49	2.49	18.45	NAN	
7.2	1.875	3.38	3.38	18.75	NAN	
7.3	1.905	4.45	4.45	19.05	NAN	
7.4	1.92	5.635	5.635	19.2	NAN	
7.5	1.95	6.845	6.845	19.5	NAN	
7.6	1.98	8.07	8.07	19.8	NAN	
7.7	2.01	8.91	8.91	20.1	NAN	
7.8	2.025	8.91	8.91	20.25	NAN	
7.9	2.055	8.08	8.08	20.55	NAN	
8	2.07	6.715	6.715	20.7	NAN	
8.1	2.1	5.02	5.02	21	NAN	
8.2	2.13	3.43	3.43	21.3	NAN	
8.3	2.145	2.235	2.235	21.45	NAN	
8.4	2.175	1.49	1.49	21.75	NAN	
8.5	2.205	1.12	1.12	22.05	NAN	
8.6	2.235	1.06	1.06	22.35	NAN	
8.7	2.265	1.21	1.21	22.65	NAN	
8.8	2.28	1.63	1.63	22.8	NAN	
8.9	2.31	2.25	2.25	23.1	NAN	
9	2.34	3.1	3.1	23.4	NAN	
9.1	2.37	4.1	4.1	23.7	NAN	
9.2	2.4	5.395	5.395	24	NAN	
9.3	2.415	6.795	6.795	24.15	NAN	
9.4	2.43	8.285	8.285	24.3	NAN	
9.5	2.46	9.74	9.74	24.6	NAN	
9.6	2.49	10.245	10.245	24.9	NAN	
9.7	2.52	10.245	10.245	25.2	NAN	
9.8	2.55	10.245	10.245	25.5	NAN	
9.9	2.565	9.925	9.925	25.65	NAN	
10	2.595	8.38	8.38	25.95	NAN	
10.1	2.625	6.655	6.655	26.25	NAN	
10.2	2.655	5.05	5.05	26.55	NAN	
10.3	2.67	3.895	3.895	26.7	NAN	
10.4	2.7	3.035	3.035	27	NAN	
10.5	2.73	2.61	2.61	27.3	NAN	
10.6	2.745	2.505	2.505	27.45	NAN	
10.7	2.775	2.73	2.73	27.75	NAN	
10.8	2.79	3.145	3.145	27.9	NAN	
10.9	2.82	3.87	3.87	28.2	NAN	
11	2.85	4.815	4.815	28.5	NAN	
11.1	2.88	6.055	6.055	28.8	NAN	
11.2	2.91	7.515	7.515	29.1	NAN	
11.3	2.925	9.17	9.17	29.25	NAN	
11.4	2.955	10.245	10.245	29.55	NAN	
11.5	2.985	10.245	10.245	29.85	NAN	
11.6	3.015	10.245	10.245	30.15	NAN	
11.7	3.045	10.245	10.245	30.45	NAN	
11.8	3.06	10.245	10.245	30.6	NAN	
11.9	3.075	10.245	10.245	30.75	NAN	
12	3.105	10.245	10.245	31.05	NAN	
12.1	3.135	9.395	9.395	31.35	NAN	
12.2	3.165	7.865	7.865	31.65	NAN	
12.3	3.18	7.02	7.02	31.8	NAN	
12.4	3.195	7.025	7.025	31.95	NAN	
12.5	3.195	7.045	7.045	31.95	NAN	
12.6	3.195	7.015	7.015	31.95	NAN	
12.7	3.195	7.08	7.08	31.95	NAN	
12.8	3.195	7.075	7.075	31.95	NAN	
12.9	3.195	7.08	7.08	31.95	NAN	
13	3.195	7.1	7.1	31.95	NAN	
13.1	3.195	7.08	7.08	31.95	NAN	
13.2	3.195	7.06	7.06	31.95	NAN	
13.3	3.195	7.015	7.015	31.95	NAN	
13.4	3.195	7.055	7.055	31.95	NAN	
