6.73	0.372	0.3	0.083
9.45	0.365	0.3	0.08
12.3	0.34	0.3	0.069
15.1	0.366	0.3	0.081
18	0.324	0.3	0.063
21.3	0.292	0.3	0.051
24.6	0.313	0.3	0.059
27.9	0.298	0.3	0.053
31.4	0.278	0.3	0.046
35	0.267	0.3	0.043
39	0.238	0.3	0.034
43.1	0.246	0.3	0.036
47.3	0.237	0.3	0.034
51.1	0.297	0.3	0.053
55.9	0.16	0.3	0.015
61.1	0.237	0.3	0.034
66.8	0.142	0.3	0.012
72.8	0.198	0.3	0.023
78.1	0.179	0.3	0.019
84.9	0.125	0.3	0.0093
92.9	0.127	0.3	0.0096
101	0.122	0.3	0.0089
110	0.107	0.3	0.0069
119	0.112	0.3	0.0076
129	0.0816	0.3	0.004
142	0.0749	0.3	0.0034
157	0.0592	0.3	0.0021
174	0.0578	0.3	0.002
197	0.0369	0.3	0.00082
226	0.0319	0.3	0.00061
266	0.0205	0.3	0.00025
358	0.00741	0.3	3.3e-05
