7.28	0.258	0.3	0.04
10.6	0.376	0.3	0.085
13.8	0.266	0.3	0.042
17	0.361	0.3	0.078
20.7	0.218	0.3	0.029
24.5	0.324	0.3	0.063
27.8	0.283	0.3	0.048
32.2	0.196	0.3	0.023
36.7	0.251	0.3	0.038
40.6	0.261	0.3	0.041
45.3	0.179	0.3	0.019
50.5	0.212	0.3	0.027
55.9	0.162	0.3	0.016
61.5	0.199	0.3	0.024
67.5	0.147	0.3	0.013
74.1	0.153	0.3	0.014
81.1	0.136	0.3	0.011
90.1	0.0938	0.3	0.0053
99.8	0.115	0.3	0.008
109	0.112	0.3	0.0075
119	0.0831	0.3	0.0041
133	0.0595	0.3	0.0021
149	0.0692	0.3	0.0029
165	0.0555	0.3	0.0018
194	0.0249	0.3	0.00037
230	0.0319	0.3	0.00061
281	0.0141	0.3	0.00012
