0.6	-0.06	0.15	0.005
0.75	-0.055	0.15	0.005
0.9	-0.06	0.15	0.005
1.2	-0.065	0.15	0.005
1.5	-0.06	0.15	0.005
1.8	-0.06	0.15	0.005
2.25	0.225	0.15	0.005
2.4	-0.06	0.15	0.005
2.7	-0.06	0.15	0.005
2.85	-0.06	0.15	0.005
3.15	-0.06	0.15	0.005
3.45	-0.055	0.15	0.005
3.75	-0.05	0.15	0.005
3.9	-0.015	0.15	0.005
4.2	-0.045	0.15	0.005
4.5	0.01	0.15	0.005
4.95	0.445	0.15	0.005
4.95	0.15	0.15	0.005
5.25	0.435	0.15	0.005
5.55	0.415	0.15	0.005
5.85	0.335	0.15	0.005
6	0.29	0.15	0.005
6.3	0.035	0.15	0.005
6.6	0.055	0.15	0.005
6.9	0.02	0.15	0.005
7.2	0	0.15	0.005
7.5	-0.045	0.15	0.005
7.5	-0.045	0.15	0.005
7.8	-0.025	0.15	0.005
8.1	0.005	0.15	0.005
8.4	0.055	0.15	0.005
8.7	0.08	0.15	0.005
8.85	0.365	0.15	0.005
9.15	0.49	0.15	0.005
9.45	0.93	0.15	0.005
9.75	1.25	0.15	0.005
10.2	1.91	0.15	0.005
10.35	1.945	0.15	0.005
10.5	1.93	0.15	0.005
10.65	1.555	0.15	0.005
10.95	0.785	0.15	0.005
11.25	0.51	0.15	0.005
11.55	0.105	0.15	0.005
11.7	0.015	0.15	0.005
12	0.025	0.15	0.005
12.3	0.01	0.15	0.005
12.9	0.31	0.15	0.005
12.9	0.06	0.15	0.005
13.05	0.2	0.15	0.005
13.35	0.405	0.15	0.005
13.65	0.69	0.15	0.005
13.95	1.135	0.15	0.005
14.25	1.23	0.15	0.005
14.4	1.805	0.15	0.005
14.55	2.325	0.15	0.005
14.85	2.81	0.15	0.005
15.45	2.82	0.15	0.005
15.6	2.72	0.15	0.005
15.75	2.53	0.15	0.005
15.9	1.96	0.15	0.005
16.2	1.075	0.15	0.005
16.5	0.7	0.15	0.005
16.8	0.26	0.15	0.005
17.1	0.205	0.15	0.005
17.25	0.07	0.15	0.005
17.55	0.04	0.15	0.005
18.15	0.95	0.15	0.005
18.15	1.04	0.15	0.005
18.3	0.585	0.15	0.005
18.45	1.08	0.15	0.005
18.75	1.67	0.15	0.005
19.05	2.22	0.15	0.005
19.35	2.845	0.15	0.005
19.5	3.54	0.15	0.005
19.8	4.175	0.15	0.005
20.1	4.43	0.15	0.005
20.4	4.255	0.15	0.005
20.85	4.12	0.15	0.005
20.85	2.965	0.15	0.005
21	2.295	0.15	0.005
21.3	1.58	0.15	0.005
21.6	1.215	0.15	0.005
21.9	0.85	0.15	0.005
22.2	0.755	0.15	0.005
22.35	0.59	0.15	0.005
22.65	0.745	0.15	0.005
22.95	0.74	0.15	0.005
23.4	0.97	0.15	0.005
23.4	1.505	0.15	0.005
23.7	2.055	0.15	0.005
24	2.6	0.15	0.005
24.3	3.13	0.15	0.005
24.45	4.18	0.15	0.005
24.75	5.095	0.15	0.005
24.9	5.78	0.15	0.005
25.2	5.995	0.15	0.005
25.5	5.655	0.15	0.005
25.95	4.485	0.15	0.005
25.95	4.44	0.15	0.005
26.25	3.29	0.15	0.005
26.55	2.52	0.15	0.005
26.85	2.065	0.15	0.005
27.15	1.505	0.15	0.005
27.3	1.42	0.15	0.005
27.45	1.285	0.15	0.005
27.75	1.34	0.15	0.005
28.05	1.675	0.15	0.005
28.5	2.72	0.15	0.005
28.5	2.48	0.15	0.005
28.8	3.15	0.15	0.005
29.1	3.88	0.15	0.005
29.4	4.83	0.15	0.005
29.7	5.77	0.15	0.005
29.85	6.57	0.15	0.005
30.15	7.12	0.15	0.005
30.45	7.305	0.15	0.005
30.75	7.36	0.15	0.005
31.05	6.1	0.15	0.005
31.05	5.595	0.15	0.005
31.35	5.1	0.15	0.005
31.65	4.315	0.15	0.005
31.95	4.02	0.15	0.005
