MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0.2	0.045	0.01	0.01	0.45	NAN	
0.3	0.075	0.03	0.03	0.75	NAN	
0.4	0.105	0.03	0.03	1.05	NAN	
0.5	0.12	0.035	0.035	1.2	NAN	
0.6	0.15	0.03	0.03	1.5	NAN	
0.7	0.165	0.04	0.04	1.65	NAN	
0.8	0.21	0.05	0.05	2.1	NAN	
0.9	0.225	0.05	0.05	2.25	NAN	
1	0.255	0.06	0.06	2.55	NAN	
1.1	0.285	0.07	0.07	2.85	NAN	
1.2	0.315	0.085	0.085	3.15	NAN	
1.3	0.375	0.115	0.115	3.75	NAN	
1.4	0.36	0.17	0.17	3.6	NAN	
1.5	0.39	0.25	0.25	3.9	NAN	
1.6	0.42	0.38	0.38	4.2	NAN	
1.7	0.435	0.585	0.585	4.35	NAN	
1.8	0.465	0.825	0.825	4.65	NAN	
1.9	0.495	1.11	1.11	4.95	NAN	
2	0.51	1.415	1.415	5.1	NAN	
2.1	0.54	1.62	1.62	5.4	NAN	
2.2	0.57	1.54	1.54	5.7	NAN	
2.3	0.6	1.245	1.245	6	NAN	
2.4	0.63	0.875	0.875	6.3	NAN	
2.5	0.645	0.6	0.6	6.45	NAN	
2.6	0.675	0.39	0.39	6.75	NAN	
2.7	0.705	0.27	0.27	7.05	NAN	
2.8	0.735	0.22	0.22	7.35	NAN	
2.9	0.765	0.25	0.25	7.65	NAN	
3	0.78	0.32	0.32	7.8	NAN	
3.1	0.795	0.42	0.42	7.95	NAN	
3.2	0.825	0.605	0.605	8.25	NAN	
3.3	0.855	0.875	0.875	8.55	NAN	
3.4	0.885	1.21	1.21	8.85	NAN	
3.5	0.915	1.625	1.625	9.15	NAN	
3.6	0.93	2.11	2.11	9.3	NAN	
3.7	0.96	2.685	2.685	9.6	NAN	
3.8	0.99	3.315	3.315	9.9	NAN	
3.9	1.02	3.77	3.77	10.2	NAN	
4	1.05	3.82	3.82	10.5	NAN	
4.1	1.08	3.255	3.255	10.8	NAN	
4.2	1.095	2.39	2.39	10.95	NAN	
4.3	1.125	1.54	1.54	11.25	NAN	
4.4	1.14	1	1	11.4	NAN	
4.5	1.17	0.635	0.635	11.7	NAN	
4.6	1.2	0.43	0.43	12	NAN	
4.7	1.23	0.39	0.39	12.3	NAN	
4.8	1.245	0.46	0.46	12.45	NAN	
4.9	1.275	0.59	0.59	12.75	NAN	
5	1.305	0.845	0.845	13.05	NAN	
5.1	1.335	1.215	1.215	13.35	NAN	
5.2	1.35	1.685	1.685	13.5	NAN	
5.3	1.38	2.27	2.27	13.8	NAN	
5.4	1.41	2.94	2.94	14.1	NAN	
5.5	1.44	3.745	3.745	14.4	NAN	
5.6	1.47	4.615	4.615	14.7	NAN	
5.7	1.485	5.465	5.465	14.85	NAN	
5.8	1.5	5.975	5.975	15	NAN	
5.9	1.53	6.005	6.005	15.3	NAN	
6	1.56	5.18	5.18	15.6	NAN	
6.1	1.59	3.95	3.95	15.9	NAN	
6.2	1.62	2.795	2.795	16.2	NAN	
6.3	1.635	1.84	1.84	16.35	NAN	
6.4	1.665	1.19	1.19	16.65	NAN	
6.5	1.695	0.82	0.82	16.95	NAN	
6.6	1.725	0.68	0.68	17.25	NAN	
6.7	1.755	0.73	0.73	17.55	NAN	
6.8	1.77	0.945	0.945	17.7	NAN	
6.9	1.8	1.25	1.25	18	NAN	
7	1.815	1.725	1.725	18.15	NAN	
7.1	1.845	2.3	2.3	18.45	NAN	
7.2	1.875	3.125	3.125	18.75	NAN	
7.3	1.89	4.05	4.05	18.9	NAN	
7.4	1.92	5.09	5.09	19.2	NAN	
7.5	1.95	6.22	6.22	19.5	NAN	
7.6	1.98	7.3	7.3	19.8	NAN	
7.7	1.995	8.07	8.07	19.95	NAN	
7.8	2.025	8.125	8.125	20.25	NAN	
7.9	2.055	7.435	7.435	20.55	NAN	
8	2.085	6.265	6.265	20.85	NAN	
8.1	2.115	4.875	4.875	21.15	NAN	
8.2	2.13	3.5	3.5	21.3	NAN	
8.3	2.145	2.48	2.48	21.45	NAN	
8.4	2.175	1.78	1.78	21.75	NAN	
8.5	2.205	1.395	1.395	22.05	NAN	
8.6	2.235	1.265	1.265	22.35	NAN	
8.7	2.265	1.355	1.355	22.65	NAN	
8.8	2.28	1.63	1.63	22.8	NAN	
8.9	2.31	2.15	2.15	23.1	NAN	
9	2.34	2.82	2.82	23.4	NAN	
9.1	2.37	3.69	3.69	23.7	NAN	
9.2	2.385	4.765	4.765	23.85	NAN	
9.3	2.415	5.97	5.97	24.15	NAN	
9.4	2.445	7.33	7.33	24.45	NAN	
9.5	2.46	8.63	8.63	24.6	NAN	
9.6	2.49	9.66	9.66	24.9	NAN	
9.7	2.505	10.13	10.13	25.05	NAN	
9.8	2.535	9.9	9.9	25.35	NAN	
9.9	2.565	9.05	9.05	25.65	NAN	
10	2.595	7.75	7.75	25.95	NAN	
10.1	2.625	6.245	6.245	26.25	NAN	
10.2	2.64	4.865	4.865	26.4	NAN	
10.3	2.67	3.79	3.79	26.7	NAN	
10.4	2.7	2.995	2.995	27	NAN	
10.5	2.73	2.525	2.525	27.3	NAN	
10.6	2.76	2.355	2.355	27.6	NAN	
10.7	2.775	2.44	2.44	27.75	NAN	
10.8	2.79	2.735	2.735	27.9	NAN	
10.9	2.82	3.325	3.325	28.2	NAN	
11	2.85	4.17	4.17	28.5	NAN	
11.1	2.88	5.205	5.205	28.8	NAN	
11.2	2.895	6.435	6.435	28.95	NAN	
11.3	2.925	7.86	7.86	29.25	NAN	
11.4	2.955	9.4	9.4	29.55	NAN	
11.5	2.985	10.245	10.245	29.85	NAN	
11.6	3.015	10.245	10.245	30.15	NAN	
11.7	3.03	10.245	10.245	30.3	NAN	
11.8	3.06	10.245	10.245	30.6	NAN	
11.9	3.09	10.245	10.245	30.9	NAN	
12	3.12	9.77	9.77	31.2	NAN	
12.1	3.135	8.365	8.365	31.35	NAN	
12.2	3.15	7.13	7.13	31.5	NAN	
12.3	3.18	6.19	6.19	31.8	NAN	
12.4	3.195	6.205	6.205	31.95	NAN	
