10.8	2.775	1.34	1.34	27.75	NAN	
10.9	2.805	1.675	1.675	28.05	NAN	
11.076	2.85	2.72	2.72	28.5	NAN	
11.1	2.85	2.48	2.48	28.5	NAN	
11.2	2.88	3.15	3.15	28.8	NAN	
11.3	2.91	3.88	3.88	29.1	NAN	
11.4	2.94	4.83	4.83	29.4	NAN	
11.5	2.97	5.77	5.77	29.7	NAN	
11.6	2.985	6.57	6.57	29.85	NAN	
11.7	3.015	7.12	7.12	30.15	NAN	
11.8	3.045	7.305	7.305	30.45	NAN	
11.9	3.075	7.36	7.36	30.75	NAN	
12.09	3.105	6.1	6.1	31.05	NAN	
12.103	3.105	5.595	5.595	31.05	NAN	
12.2	3.135	5.1	5.1	31.35	NAN	
12.3	3.165	4.315	4.315	31.65	NAN	
12.4	3.195	4.02	4.02	31.95	NAN	
